"outcome","predictor","x_value","yhat"
"B","stress_state","3.16666666666667",0.819790132411512
"B","stress_state","3.33333333333333",0.819790132411512
"B","stress_state","3.5",0.819790132411512
"B","stress_state","3.66666666666667",0.815111948941579
"B","stress_state","3.83333333333333",0.815111948941579
"B","stress_state","4",0.815111948941579
"choice_prop","NA_state","0",0.349690861132005
"choice_prop","NA_state","0.166666666666667",0.349690861132005
"choice_prop","NA_state","0.333333333333333",0.349690861132005
"choice_prop","NA_state","0.5",0.349690861132005
"choice_prop","NA_state","0.666666666666667",0.355913605593829
"choice_prop","NA_state","0.833333333333333",0.355913605593829
"choice_prop","NA_state","1",0.355913605593829
"choice_prop","NA_state","1.16666666666667",0.355992619171519
"choice_prop","NA_state","1.33333333333333",0.355992619171519
"choice_prop","NA_state","1.5",0.355992619171519
"choice_prop","NA_state","1.66666666666667",0.357775097559312
"choice_prop","NA_state","1.83333333333333",0.357775097559312
"choice_prop","NA_state","2",0.357775097559312
"choice_prop","NA_state","2.16666666666667",0.358140892714424
"choice_prop","NA_state","2.33333333333333",0.358140892714424
"choice_prop","NA_state","2.5",0.358140892714424
"choice_prop","NA_state","2.66666666666667",0.369580543985042
"choice_prop","NA_state","2.83333333333333",0.369580543985042
"choice_prop","NA_state","3",0.369580543985042
"choice_prop","NA_state","3.16666666666667",0.369975168491352
"choice_prop","NA_state","3.33333333333333",0.369975168491352
"choice_prop","NA_state","3.5",0.369975168491352
"choice_prop","NA_state","3.66666666666667",0.381767147632405
"choice_prop","NA_state","3.83333333333333",0.381767147632405
"choice_prop","NA_state","4",0.381767147632405
"median_rt","NA_state","0",0.773731524616382
"median_rt","NA_state","0.166666666666667",0.773731524616382
"median_rt","NA_state","0.333333333333333",0.773731524616382
"median_rt","NA_state","0.5",0.773731524616382
"median_rt","NA_state","0.666666666666667",0.782690387247922
"median_rt","NA_state","0.833333333333333",0.782690387247922
"median_rt","NA_state","1",0.782690387247922
"median_rt","NA_state","1.16666666666667",0.782666504020401
"median_rt","NA_state","1.33333333333333",0.782666504020401
"median_rt","NA_state","1.5",0.782666504020401
"median_rt","NA_state","1.66666666666667",0.788283686008831
"median_rt","NA_state","1.83333333333333",0.788283686008831
"median_rt","NA_state","2",0.788283686008831
"median_rt","NA_state","2.16666666666667",0.788681761861642
"median_rt","NA_state","2.33333333333333",0.788681761861642
"median_rt","NA_state","2.5",0.788681761861642
"median_rt","NA_state","2.66666666666667",0.793691616285525
"median_rt","NA_state","2.83333333333333",0.793691616285525
"median_rt","NA_state","3",0.793691616285525
"median_rt","NA_state","3.16666666666667",0.793184226647166
"median_rt","NA_state","3.33333333333333",0.793184226647166
"median_rt","NA_state","3.5",0.793184226647166
"median_rt","NA_state","3.66666666666667",0.766566728645972
"median_rt","NA_state","3.83333333333333",0.766566728645972
"median_rt","NA_state","4",0.766566728645972
"drift","NA_state","0",0.369717068446577
"drift","NA_state","0.166666666666667",0.369717068446577
"drift","NA_state","0.333333333333333",0.369717068446577
"drift","NA_state","0.5",0.369717068446577
"drift","NA_state","0.666666666666667",0.391955344391568
"drift","NA_state","0.833333333333333",0.391955344391568
"drift","NA_state","1",0.391955344391568
"drift","NA_state","1.16666666666667",0.39199668035659
"drift","NA_state","1.33333333333333",0.39199668035659
"drift","NA_state","1.5",0.39199668035659
"drift","NA_state","1.66666666666667",0.391571719912794
"drift","NA_state","1.83333333333333",0.391571719912794
"drift","NA_state","2",0.391571719912794
"drift","NA_state","2.16666666666667",0.391652884121023
"drift","NA_state","2.33333333333333",0.391652884121023
